Alpha-2 code,English short name,Remark
AC,,Refers to Ascension Island and reserved at the request of Universal Postal Union (UPU)
CP,,Refers to Clipperton Island and reserved at the request of International Telecommunication Union (ITU).
CQ,,Refers to the island of Sark and reserved at the request of the United Kingdom.
DG,,Refers to Diego Garcia and reserved at the request of International Telecommunication Union (ITU)
EA,,"Refers to Ceuta, Melilla and reserved at the request of World Customs Organization (WCO)."
EU,,"Refers to European Union and reserved at the request of ISO 4217/MA (March 1998) for ISO 6166, Securities - International securities identification numbering system (ISIN)."
EZ,,"Refers to European OTC derivatives and reserved at the request of ISO 6166/RA, Securities - International securities identification numbering system (ISIN)."
FX,"France, Metropolitan",Refers to Metropolitan France and reserved at the request of France.
IC,,Refers to the Canary Islands and reserved at the request of World Customs Organization (WCO)
SU,USSR,Refers to the former USSR and reserved at the request of the Foundation for Internet Development (FID).
TA,,Refers to Tristan da Cunha and reserved at the request of Universal Postal Union (UPU).
UK,,Refers to the United Kingdom and reserved at the request of United Kingdom.
UN,,Refers to the United Nations and reserved by the ISO 3166 Maintenance Agency.
