Alpha-2 code,English short name,Remark
AP,,Refers to African Regional Intellectual Property Organization and reserved at the request of World Intellectual Property Organization (WIPO) for use in Standard ST.3.
BX,,Refers to Benelux Office for Intellectual Property and reserved at the request of World Intellectual Property Organization (WIPO) for use in Standard ST.3.
DY,,"Refers to Benin (BJ, BEN, 204) and to a list of car vehicle distinguishing signs notified to the Secretary-General of the United Nations under 1949 Road Traffic Convention and 1968 Road Traffic Convention."
EF,,Refers to Union of Countries under the European Community Patent Convention and reserved at the request of World Intellectual Property Organization (WIPO) for use in Standard ST.3.
EM,,Refers to the European Trademark Office and reserved at the request of World Intellectual Property Organization (WIPO) for use in Standard ST.3.
EP,,Refers to the European Patent Organization and reserved at the request of World Intellectual Property Organization (WIPO) for use in Standard ST.3.
EV,,Requested by World Intellectual Property Organization (WIPO) for use in Standard ST.3
EW,,Refers to Estonia and to a list of car vehicle distinguishing signs notified to the Secretary-General of the United Nations under 1949 Road Traffic Convention and 1968 Road Traffic Convention.
FL,,Refers to Liechtenstein and to a car vehicle distinguishing signs which are in use but which were not notified to the Secretary-General of the United Nations under the 1949 Convention
GC,,Refers to the Patent Office of the Cooperation Council for the Arab States of the Gulf (GCC) and reserved at the request of World Intellectual Property Organization (WIPO) for use in Standard ST.3.
IB,,Refers to International Bureau of WIPO and reserved at the request of World Intellectual Property Organization (WIPO) for use in Standard ST.3.
JA,,Refers to Jamaica and to the 1949 Road Traffic Convention. Requested by Secretary-General of UN for Road Traffic Conventions.
LF,,Refers Libya Fezzan and to car vehicle distinguishing signs which are in use but which were not notified to the Secretary-General of the United Nations under the 1949 Convention.
OA,,Refers to the African Intellectual Property Organization and reserved at the request of World Intellectual Property Organization (WIPO) for use in Standard ST.3.
PI,,Refers to the Philippines and to 1949 Road Traffic Convention. Requested by Secretary-General of UN for Road Traffic Conventions.
RA,,Refers to Argentina and to the 1949 Road Traffic Convention. Requested by Secretary-General of UN for Road Traffic Conventions.
RB,,Refers to Bolivia or to Botswana (identical codes) and to the 1949 Road Traffic Convention. Requested by Secretary-General of UN for Road Traffic Conventions.
RC,,Refers to China and to the 1949 Road Traffic Convention. Requested by Secretary-General of UN for Road Traffic Conventions.
RH,,Refers to Haiti and to a list of car vehicle distinguishing signs notified to the Secretary-General of the United Nations under 1949 Road Traffic Convention and 1968 Road Traffic Convention.
RI,,Refers to Indonesia and to the 1949 Road Traffic Convention. Requested by Secretary-General of UN for Road Traffic Conventions.
RL,,Refers to Lebanon and to the 1949 Road Traffic Convention. Requested by Secretary-General of UN for Road Traffic Conventions.
RM,,Refers to Madagascar and to the 1949 Road Traffic Convention. Requested by Secretary-General of UN for Road Traffic Conventions.
RN,,Refers to Niger and to the 1968 Road Traffic Convention. Requested by Secretary-General of UN for Road Traffic Conventions.
RP,,Refers to the Philippines and to the 1968 Road Traffic Convention. Requested by Secretary-General of UN for Road Traffic Conventions.
SF,,Refers to Finland and to a list of car vehicle distinguishing signs notified to the Secretary-General of the United Nations under 1949 Road Traffic Convention and 1968 Road Traffic Convention.
WG,,Refers to Grenada and to a list of car vehicle distinguishing signs notified to the Secretary-General of the United Nations under 1949 Road Traffic Convention and 1968 Road Traffic Convention.
WL,,Refers to Saint Lucia and to a list of car vehicle distinguishing signs notified to the Secretary-General of the United Nations under 1949 Road Traffic Convention and 1968 Road Traffic Convention.
WO,,Refers to the World Intellectual Property Organization and reserved at the request of World Intellectual Property Organization (WIPO) for use in Standard ST.3.
WV,,Refers to Saint Vincent and to a list of car vehicle distinguishing signs notified to the Secretary-General of the United Nations under 1949 Road Traffic Convention and 1968 Road Traffic Convention.
YV,,Refers to Venezuela and to a list of car vehicle distinguishing signs notified to the Secretary-General of the United Nations under 1949 Road Traffic Convention and 1968 Road Traffic Convention.
