Country Name,Currency Code,Currency Number,Is Fund,Minor Units,Name,Withdrawal Date
AFGHANISTAN,AFA,004,false,,Afghani,2003-01
ÅLAND ISLANDS,FIM,246,false,,Markka,2002-03
ALBANIA,ALK,008,false,,Old Lek,1989-12
ANDORRA,ADP,020,false,,Andorran Peseta,2003-07
ANDORRA,ESP,724,false,,Spanish Peseta,2002-03
ANDORRA,FRF,250,false,,French Franc,2002-03
ANGOLA,AOK,024,false,,Kwanza,1991-03
ANGOLA,AON,024,false,,New Kwanza,2000-02
ANGOLA,AOR,982,false,,Kwanza Reajustado,2000-02
ARGENTINA,ARA,032,false,,Austral,1992-01
ARGENTINA,ARP,032,false,,Peso Argentino,1985-07
ARGENTINA,ARY,032,false,,Peso,1989 to 1990
ARMENIA,RUR,810,false,,Russian Ruble,1994-08
AUSTRIA,ATS,040,false,,Schilling,2002-03
AZERBAIJAN,AYM,945,false,,Azerbaijan Manat,2005-10
AZERBAIJAN,AZM,031,false,,Azerbaijanian Manat,2005-12
AZERBAIJAN,RUR,810,false,,Russian Ruble,1994-08
BELARUS,BYB,112,false,,Belarusian Ruble,2001-01
BELARUS,BYR,974,false,,Belarusian Ruble,2017-01
BELARUS,RUR,810,false,,Russian Ruble,1994-06
BELGIUM,BEC,993,false,,Convertible Franc,1990-03
BELGIUM,BEF,056,false,,Belgian Franc,2002-03
BELGIUM,BEL,992,false,,Financial Franc,1990-03
BOLIVIA,BOP,068,false,,Peso boliviano,1987-02
BOSNIA AND HERZEGOVINA,BAD,070,false,,Dinar,1998-07
BRAZIL,BRB,076,false,,Cruzeiro,1986-03
BRAZIL,BRC,076,false,,Cruzado,1989-02
BRAZIL,BRE,076,false,,Cruzeiro,1993-03
BRAZIL,BRN,076,false,,New Cruzado,1990-03
BRAZIL,BRR,987,false,,Cruzeiro Real,1994-07
BULGARIA,BGJ,100,false,,Lev A/52,1989 to 1990
BULGARIA,BGK,100,false,,Lev A/62,1989 to 1990
BULGARIA,BGL,100,false,,Lev,2003-11
BURMA ,BUK,104,false,,Kyat,1990-02
CROATIA,HRD,191,false,,Croatian Dinar,1995-01
CROATIA,HRK,191,false,,Croatian Kuna,2015-06
CROATIA,HRK,191,false,,Kuna,2023-01
CUBA,CUC,931,false,,Peso Convertible,2021-06
CURAÇAO,ANG,532,false,,Netherlands Antillean Guilder,2025-03
CYPRUS,CYP,196,false,,Cyprus Pound,2008-01
CZECHOSLOVAKIA,CSJ,203,false,,Krona A/53,1989 to 1990
CZECHOSLOVAKIA,CSK,200,false,,Koruna,1993-03
ECUADOR,ECS,218,false,,Sucre,2000-09
ECUADOR,ECV,983,false,,Unidad de Valor Constante (UVC),2000-09
