Change_To,Effective,Id,Ref_Name,Ret_Reason,Ret_Remedy
fry,2005-11-16,fri,Western Frisian,C,
oci,2007-03-14,auv,Auvergnat,M,
oci,2007-03-14,gsc,Gascon,M,
oci,2007-03-14,lms,Limousin,M,
oci,2007-03-14,lnc,Languedocien,M,
oci,2007-03-14,prv,Provençal,M,
,2007-07-18,amd,Amapá Creole,N,
bbh,2007-07-18,bgh,Bogan,D,
jaa,2007-07-18,bnh,Banawá,M,
,2007-07-18,bvs,Belgian Sign Language,S,"Split into Langue des signes de Belgique Francophone [sfb], and Vlaamse Gebarentaal [vgt]"
,2007-07-18,ccy,Southern Zhuang,S,Split into five languages: Nong Zhuang [zhn];  Yang Zhuang [zyg]; Yongnan Zhuang [zyn]; Zuojiang Zhuang [zzj]; Dai Zhuang [zhd].
,2007-07-18,cit,Chittagonian,S,"Split into Rohingya [rhg], and Chittagonian (new identifier [ctg])"
,2007-07-18,flm,Falam Chin,S,"Split into Ranglong [rnl], and Falam Chin (new identifier [cfm])."
jaa,2007-07-18,jap,Jaruára,M,
xsu,2007-07-18,kob,Kohoroxitari,M,
,2007-07-18,mob,Moinba,S,Split into five languages: Chug [cvg]; Lish [lsh];  Kalaktang Monpa [kkf]; Tawang Monpa [twm]; Sartang [onp]
,2007-07-18,mzf,Aiku,S,Split into four languages: Ambrak [aag]; Yangum Dey [yde]; Yangum Gel [ygl]; Yangum Mon [ymo]
nhi,2007-07-18,nhj,Tlalitzlipa Nahuatl,M,
,2007-07-18,nhs,Southeastern Puebla Nahuatl,S,Split into Sierra Negra Nahuatl [nsu] and Southeastern Puebla Nahuatl [npl]
ybi,2007-07-18,tmx,Tomyang,M,
,2007-07-18,tot,Patla-Chicontla Totonac,S,Split into Upper Necaxa Totonac [tku] and Tecpatlán Totonac [tcw]
,2007-07-18,xmi,Miarrã,N,
eng,2007-07-18,yib,Yinglish,M,
zty,2007-07-18,ztc,Lachirioag Zapotec,M,
,2007-08-10,atf,Atuence,N,
eus,2007-08-10,bqe,Navarro-Labourdin Basque,M,
eus,2007-08-10,bsz,Souletin Basque,M,
ile,2007-12-07,occ,Occidental,D,
eng,2008-01-14,aex,Amerax,M,
knx,2008-01-14,ahe,Ahe,M,
,2008-01-14,aiz,Aari,S,Split into Aari [aiw] (new identifier) and Gayil [gyl]
,2008-01-14,akn,Amikoana,N,
,2008-01-14,arf,Arafundi,S,Split into three languages: Andai [afd]; Nanubae [afk]; Tapei [afp]
,2008-01-14,azr,Adzera,S,"Split into three languages: Adzera [adz] (new identifier), Sukurum [zsu] and Sarasira [zsa]"
,2008-01-14,bcx,Pamona,S,Split into Pamona [pmf] (new identifier) and Batui [zbt]
,2008-01-14,bii,Bisu,S,Split into Bisu [bzi] (new identifier) and Laomian [lwm]
pse,2008-01-14,bke,Bengkulu,M,
