Id,Inverted_Name,Print_Name
aaa,Ghotuo,Ghotuo
aab,Alumu-Tesu,Alumu-Tesu
aac,Ari,Ari
aad,Amal,Amal
aae,"Albanian, Arbëreshë",Arbëreshë Albanian
aaf,Aranadan,Aranadan
aag,Ambrak,Ambrak
aah,"Arapesh, Abu'",Abu' Arapesh
aai,Arifama-Miniafia,Arifama-Miniafia
aak,Ankave,Ankave
aal,Afade,Afade
aan,Anambé,Anambé
aao,"Arabic, Algerian Saharan",Algerian Saharan Arabic
aap,"Arára, Pará",Pará Arára
aaq,"Abnaki, Eastern",Eastern Abnaki
aar,Afar,Afar
aas,Aasáx,Aasáx
aat,"Albanian, Arvanitika",Arvanitika Albanian
aau,Abau,Abau
aaw,Solong,Solong
aax,Mandobo Atas,Mandobo Atas
aaz,Amarasi,Amarasi
aba,Abé,Abé
abb,Bankon,Bankon
abc,"Ayta, Ambala",Ambala Ayta
abd,Manide,Manide
abe,"Abnaki, Western",Western Abnaki
abf,Abai Sungai,Abai Sungai
abg,Abaga,Abaga
abh,"Arabic, Tajiki",Tajiki Arabic
abi,Abidji,Abidji
abj,Aka-Bea,Aka-Bea
abk,Abkhazian,Abkhazian
abl,Lampung Nyo,Lampung Nyo
abm,Abanyom,Abanyom
abn,Abua,Abua
abo,Abon,Abon
abp,"Ayta, Abellen",Abellen Ayta
abq,Abaza,Abaza
abr,Abron,Abron
abs,"Malay, Ambonese",Ambonese Malay
abt,Ambulas,Ambulas
abu,Abure,Abure
abv,"Arabic, Baharna",Baharna Arabic
abw,Pal,Pal
abx,Inabaknon,Inabaknon
aby,Aneme Wake,Aneme Wake
abz,Abui,Abui
aca,Achagua,Achagua
acb,Áncá,Áncá
acd,Gikyode,Gikyode
ace,Achinese,Achinese
acf,"Creole French, Saint Lucian",Saint Lucian Creole French
ach,Acoli,Acoli
aci,Aka-Cari,Aka-Cari
ack,Aka-Kora,Aka-Kora
acl,Akar-Bale,Akar-Bale
acm,"Arabic, Mesopotamian",Mesopotamian Arabic
acn,Achang,Achang
acp,"Acipa, Eastern",Eastern Acipa
acq,"Arabic, Ta'izzi-Adeni",Ta'izzi-Adeni Arabic
acr,Achi,Achi
acs,Acroá,Acroá
act,Achterhoeks,Achterhoeks
acu,Achuar-Shiwiar,Achuar-Shiwiar
acv,Achumawi,Achumawi
acw,"Arabic, Hijazi",Hijazi Arabic
acx,"Arabic, Omani",Omani Arabic
acy,"Arabic, Cypriot",Cypriot Arabic
acz,Acheron,Acheron
ada,Adangme,Adangme
adb,Atauran,Atauran
add,Dzodinka,Dzodinka
add,Lidzonka,Lidzonka
ade,Adele,Adele
adf,"Arabic, Dhofari",Dhofari Arabic
adg,Andegerebinha,Andegerebinha
adh,Adhola,Adhola
adi,Adi,Adi
adj,Adioukrou,Adioukrou
adl,Galo,Galo
adn,Adang,Adang
ado,Abu,Abu
adq,Adangbe,Adangbe
adr,Adonara,Adonara
ads,Adamorobe Sign Language,Adamorobe Sign Language
adt,Adnyamathanha,Adnyamathanha
adu,Aduge,Aduge
adw,Amundava,Amundava
adx,"Tibetan, Amdo",Amdo Tibetan
ady,Adygei,Adygei
ady,Adyghe,Adyghe
adz,Adzera,Adzera
aea,Areba,Areba
aeb,"Arabic, Tunisian",Tunisian Arabic
aec,"Arabic, Saidi",Saidi Arabic
aed,Argentine Sign Language,Argentine Sign Language
aee,"Pashai, Northeast",Northeast Pashai
aee,"Pashayi, Northeast",Northeast Pashayi
aek,Haeke,Haeke
ael,Ambele,Ambele
aem,Arem,Arem
aen,Armenian Sign Language,Armenian Sign Language
aeq,Aer,Aer
aer,"Arrernte, Eastern",Eastern Arrernte
aes,Alsea,Alsea
aeu,Akeu,Akeu
aew,Ambakich,Ambakich
aey,Amele,Amele
aez,Aeka,Aeka
afb,"Arabic, Gulf",Gulf Arabic
afd,Andai,Andai
afe,Putukwam,Putukwam
afg,Afghan Sign Language,Afghan Sign Language
afh,Afrihili,Afrihili
afi,Akrukay,Akrukay
afi,Chini,Chini
afk,Nanubae,Nanubae
afn,Defaka,Defaka
afo,Eloyi,Eloyi
afp,Tapei,Tapei
afr,Afrikaans,Afrikaans
afs,"Creole, Afro-Seminole",Afro-Seminole Creole
aft,Afitti,Afitti
afu,Awutu,Awutu
